Code,Item Name,Category,Inventory UOM,Purchase UOM,Recipe UOM,Purchase Price,Average Cost,Active,Sales,Stocked,Purchased
Add-009,Additional Nasi Goreng Arsik,Additional,,,,0.000,11313.200,Active,Yes,No,No
Add-003,Additional to Salmon,Additional,,,,0.000,5400.000,Inactive,No,No,No
Add-037,Ayam Bumbu Kuning,Additional,,,,0.000,6444.480,Active,Yes,No,No
Add-014,Ayam Kampung,Additional,,,,0.000,22306.900,Active,Yes,No,No
MF-69,Cabe Rawit Potong ,Additional,,,,0.000,1042.570,Active,Yes,No,No
Add-052,Extra Acar,Additional,,,,0.000,611.034,Active,Yes,No,No
Add-001,Extra Beef,Additional,Porsi,Porsi,Porsi,0.000,11762.200,Active,Yes,Yes,No
Add-018,Extra Beef Ham ,Additional,,,,0.000,3599.880,Active,Yes,No,No
Add-020,Extra Beef Sausage ,Additional,,,,0.000,5268.520,Active,Yes,No,No
Add-051,Extra Cabe Bakso,Additional,,,,0.000,561.214,Active,Yes,No,No
Add-005,Extra Cheese,Additional,,,,0.000,16000.000,Active,Yes,No,No
Add-010,Extra Cheese Crust,Additional,,,,0.000,48000.000,Inactive,No,No,No
Add-064,Extra Cheese Moza,Additional,,,,0.000,320.000,Active,Yes,No,No
Add-032,Extra Chicken Ham,Additional,,,,0.000,1364.890,Active,Yes,No,No
Add-004,Extra Chicken Sausage ,Additional,,,,0.000,2795.020,Active,Yes,No,No
Add-029,Extra Cikala Syrup,Additional,,,,0.000,1284.730,Active,Yes,No,No
Add-044,Extra Cincang Labar,Additional,,,,0.000,1608.820,Active,Yes,No,No
Add-055,Extra Demi Glace,Additional,,,,0.000,623.082,Active,Yes,No,No
Add-061,Extra Dressing Cikala,Additional,,,,0.000,1063.730,Active,Yes,No,No
Add-062,Extra Dressing Mayo Cheese,Additional,,,,0.000,5374.300,Active,Yes,No,No
Add-035,Extra Garlic Bread,Additional,,,,0.000,5916.150,Active,Yes,No,No
Add-033,Extra Grilled Chicken Breast,Additional,,,,0.000,8794.580,Active,Yes,No,No
Add-023,Extra Gula Merah,Additional,,,,0.000,2627.640,Active,Yes,No,No
Add-059,Extra Honey Mustard,Additional,,,,0.000,2675.870,Active,Yes,No,No
